airline,overall,aircraft,traveller_type,cabin,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,sentiment,Departure,Arrival,year_flown,month_flown
KLM Royal Dutch Airlines,9.0,Boeing 777-200,Couple Leisure,Premium Economy,4.0,5.0,5.0,3.0,5.0,5.0,1,jfk,jro ,2017,February
KLM Royal Dutch Airlines,2.0,A330-200,Business,Economy Class,2.0,1.0,1.0,2.0,2.0,1.0,1,amsterdam,washington,2017,February
KLM Royal Dutch Airlines,3.0,A330-200,Solo Leisure,Economy Class,3.0,3.0,1.0,2.0,2.0,3.0,1,fra,iad ,2017,January
KLM Royal Dutch Airlines,9.0,Boeing 747-400,Business,Business Class,4.0,5.0,5.0,4.0,4.0,4.0,1,amsterdam,curacao,2017,February
KLM Royal Dutch Airlines,5.0,Boeing 777-300ER,Couple Leisure,Economy Class,3.0,1.0,3.0,3.0,4.0,4.0,-1,singapore,bali,2016,February
KLM Royal Dutch Airlines,9.0,Boeing 747-Combi,Solo Leisure,Business Class,5.0,5.0,5.0,4.0,4.0,5.0,1,ncl,mex ,2017,January
KLM Royal Dutch Airlines,9.0,Boeing 777-200,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,dxb,ams,2016,December
KLM Royal Dutch Airlines,7.0,Boeing 737-800,Solo Leisure,Economy Class,3.0,4.0,3.0,2.0,4.0,4.0,1,ams,mad,2016,April
KLM Royal Dutch Airlines,8.0,Boeing 777-200ER,Family Leisure,Premium Economy,4.0,5.0,3.0,3.0,3.0,5.0,1,ams,cpt,2016,December
KLM Royal Dutch Airlines,9.0,Boeing 777-200,Business,Premium Economy,5.0,4.0,4.0,5.0,4.0,4.0,1,jfk,ams,00:00:00,2016-05-01
KLM Royal Dutch Airlines,10.0,Boeing 777,Family Leisure,Economy Class,5.0,5.0,4.0,5.0,3.0,5.0,1,ams,jnb,2016,December
KLM Royal Dutch Airlines,8.0,Boeing 747-400,Business,Premium Economy,4.0,4.0,4.0,4.0,4.0,4.0,1,ams,lax,2016,April
KLM Royal Dutch Airlines,10.0,Boeing 747-400,Solo Leisure,Business Class,5.0,5.0,5.0,4.0,4.0,5.0,1,iah,bru ,2016,December
KLM Royal Dutch Airlines,10.0,Boeing 777-200ER,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,1,dps,sin,2016,December
KLM Royal Dutch Airlines,10.0,Boeing 777-200,Business,Business Class,4.0,5.0,4.0,4.0,5.0,4.0,1,dxb,ams,2016,December
KLM Royal Dutch Airlines,5.0,Boeing 787,Business,Economy Class,2.0,4.0,2.0,3.0,1.0,2.0,-1,ams,cmb ,2016,December
KLM Royal Dutch Airlines,10.0,Boeing 777-300ER,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,1,sin,dps,2016,December
KLM Royal Dutch Airlines,5.0,Boeing 737-300,Family Leisure,Economy Class,3.0,2.0,1.0,1.0,3.0,4.0,1,cdg,ist ,2016,October
KLM Royal Dutch Airlines,5.0,Boeing 777,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,1.0,3.0,-1,gva,pty ,2016,November
KLM Royal Dutch Airlines,2.0,A330,Business,Business Class,1.0,1.0,2.0,1.0,2.0,2.0,-1,mia,doh ,2016,November
KLM Royal Dutch Airlines,10.0,A330-200,Couple Leisure,Economy Class,4.0,5.0,5.0,4.0,4.0,5.0,1,ams,sxm,2016,October
KLM Royal Dutch Airlines,4.0,Boeing 747-400,Business,Premium Economy,4.0,3.0,1.0,1.0,1.0,2.0,-1,pbm,ams,2016,November
KLM Royal Dutch Airlines,9.0,Boeing 777-300,Solo Leisure,Economy Class,5.0,4.0,5.0,4.0,4.0,5.0,1,mme,bkk ,2016,September
KLM Royal Dutch Airlines,7.0,Boeing 747-400,Business,Economy Class,4.0,4.0,2.0,3.0,4.0,3.0,1,pvg,ams,2016,October
KLM Royal Dutch Airlines,2.0,Boeing 777-200,Business,Economy Class,1.0,4.0,1.0,2.0,1.0,1.0,-1,ams,dps ,2016,October
KLM Royal Dutch Airlines,2.0,Boeing 777-200,Business,Economy Class,1.0,4.0,1.0,2.0,1.0,1.0,-1,ams,dps ,2016,October
KLM Royal Dutch Airlines,8.0,Boeing 777-300ER,Solo Leisure,Economy Class,3.0,5.0,4.0,5.0,4.0,4.0,1,bkk,txl ,2016,October
KLM Royal Dutch Airlines,9.0,A330-300,Family Leisure,Premium Economy,4.0,5.0,5.0,4.0,4.0,4.0,1,yyc,ams,2016,October
KLM Royal Dutch Airlines,8.0,Boeing 747-400,Business,Economy Class,3.0,5.0,5.0,5.0,5.0,5.0,1,bhx,sfo ,2016,October
KLM Royal Dutch Airlines,10.0,Boeing 777-200ER / 737,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,waw,jfk ,2016,October
KLM Royal Dutch Airlines,8.0,Boeing 777-300ER,Couple Leisure,Economy Class,3.0,5.0,4.0,3.0,4.0,4.0,1,tpe,ams,2016,September
KLM Royal Dutch Airlines,8.0,Boeing 777,Business,Premium Economy,4.0,2.0,2.0,3.0,4.0,4.0,1,kul,txl ,2016,September
KLM Royal Dutch Airlines,9.0,Boeing 777-200ER,Couple Leisure,Economy Class,4.0,5.0,4.0,4.0,4.0,4.0,1,ams,jnb ,2016,September
KLM Royal Dutch Airlines,9.0,Boeing 747,Business,First Class,5.0,5.0,4.0,4.0,4.0,4.0,1,fra,lax ,2016,July
KLM Royal Dutch Airlines,9.0,Boeing 777,Couple Leisure,Economy Class,4.0,4.0,4.0,3.0,5.0,3.0,-1,man,jnb ,2016,September
KLM Royal Dutch Airlines,10.0,A330-300,Business,Business Class,4.0,5.0,5.0,5.0,4.0,5.0,1,ams,yul,2016,September
KLM Royal Dutch Airlines,5.0,Boeing 747-400,Solo Leisure,Economy Class,3.0,4.0,3.0,1.0,4.0,3.0,1,ams,lax,2016,August
KLM Royal Dutch Airlines,6.0,Boeing 747,Solo Leisure,Economy Class,4.0,4.0,3.0,1.0,4.0,3.0,1,dxb,jfk ,2016,August
KLM Royal Dutch Airlines,10.0,Boeing 789 / 773ER,Family Leisure,Business Class,4.0,5.0,5.0,5.0,5.0,4.0,1,kix,bru ,2016,August
KLM Royal Dutch Airlines,8.0,Boeing 777-300ER,Business,Economy Class,4.0,3.0,4.0,5.0,3.0,4.0,1,ams,tpe,2016,August
KLM Royal Dutch Airlines,10.0,Fokker 70 / Boeing 747-400,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,cwl,pek ,2016,January
KLM Royal Dutch Airlines,9.0,Boeing 777-300ER,Couple Leisure,Economy Class,5.0,4.0,4.0,5.0,5.0,5.0,1,ams,cgk,2016,June
KLM Royal Dutch Airlines,8.0,"Boeing 772, Boeing 747",Business,Business Class,4.0,4.0,2.0,4.0,4.0,4.0,1,yyz,pvg ,2016,August
KLM Royal Dutch Airlines,9.0,Boeing 747,Solo Leisure,Premium Economy,4.0,5.0,5.0,3.0,4.0,5.0,1,ams,lax,2016,July
KLM Royal Dutch Airlines,9.0,Boeing 787,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,5.0,4.0,1,mct,ams,2016,July
KLM Royal Dutch Airlines,6.0,Boeing 747 Combi,Solo Leisure,Economy Class,1.0,5.0,4.0,1.0,4.0,2.0,1,txl,mex ,2016,July
KLM Royal Dutch Airlines,10.0,Boeing 787-9,Solo Leisure,Business Class,4.0,5.0,5.0,4.0,4.0,5.0,1,xmn,ams,00:00:00,2016-05-01
KLM Royal Dutch Airlines,1.0,Boeing 777,Couple Leisure,Economy Class,1.0,3.0,2.0,4.0,1.0,1.0,-1,lim,hel ,2016,July
KLM Royal Dutch Airlines,9.0,Boeing 777-200,Couple Leisure,Economy Class,4.0,4.0,5.0,5.0,4.0,5.0,1,ams,jnb,2016,July
KLM Royal Dutch Airlines,1.0,Boeing 777-200ER,Solo Leisure,Economy Class,1.0,1.0,1.0,2.0,2.0,1.0,1,gru,ams,2016,July
KLM Royal Dutch Airlines,5.0,Boeing 747-400,Family Leisure,Economy Class,2.0,4.0,3.0,1.0,3.0,3.0,-1,bll,lax ,2016,July
KLM Royal Dutch Airlines,7.0,Boeing 777-300ER,Business,Economy Class,4.0,4.0,4.0,4.0,3.0,5.0,1,cgk,kul,2016,July
KLM Royal Dutch Airlines,8.0,Boeing 787,Solo Leisure,Economy Class,5.0,5.0,3.0,5.0,3.0,4.0,1,cag,auh ,2016,July
KLM Royal Dutch Airlines,8.0,Boeing 777-200R and Embraer 175,Couple Leisure,Economy Class,4.0,5.0,4.0,4.0,5.0,5.0,1,jfk,str ,2016,July
KLM Royal Dutch Airlines,10.0,Boeing 777-300,Couple Leisure,Business Class,5.0,4.0,5.0,5.0,5.0,5.0,1,yyz,cdg ,2016,June
KLM Royal Dutch Airlines,5.0,Boeing 747,Family Leisure,Premium Economy,2.0,5.0,3.0,3.0,4.0,3.0,1,nbo,iad ,2016,July
KLM Royal Dutch Airlines,8.0,Boeing 777-300,Solo Leisure,Business Class,5.0,4.0,4.0,4.0,4.0,4.0,1,ams,scl,2016,June
KLM Royal Dutch Airlines,9.0,Boeing 787-900,Business,Business Class,5.0,4.0,5.0,4.0,4.0,5.0,1,kix,ams,00:00:00,2016-05-01
KLM Royal Dutch Airlines,9.0,Dreamliner,Solo Leisure,Economy Class,4.0,4.0,4.0,4.0,5.0,5.0,1,mct,lhr ,2016,July
KLM Royal Dutch Airlines,5.0,Boeing 777-300,Business,Business Class,2.0,3.0,1.0,4.0,4.0,2.0,1,ams,bkk,2016,February
KLM Royal Dutch Airlines,8.0,Boeing 777-300,Couple Leisure,Business Class,4.0,5.0,4.0,3.0,4.0,4.0,1,eze,ams,2016,April
KLM Royal Dutch Airlines,10.0,Boeing 737-700 / 800,Couple Leisure,Economy Class,4.0,5.0,4.0,4.0,5.0,5.0,1,ncl,mad ,2016,June
KLM Royal Dutch Airlines,9.0,Boeing 747-400,Couple Leisure,Economy Class,5.0,5.0,4.0,4.0,4.0,5.0,1,ams,sxm,2016,June
KLM Royal Dutch Airlines,3.0,Boeing 777-300 / B737,Solo Leisure,Business Class,1.0,5.0,2.0,2.0,4.0,2.0,-1,gye,lys ,2016,June
KLM Royal Dutch Airlines,9.0,Boeing 737 / 777-300,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,5.0,5.0,1,lys,gye ,2016,June
KLM Royal Dutch Airlines,9.0,Boeing 747-400,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,5.0,5.0,1,ord,ams,2016,June
KLM Royal Dutch Airlines,9.0,Boeing 777-300er,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,4.0,5.0,1,bkk,ams,2016,March
KLM Royal Dutch Airlines,10.0,Boeing 777-200ER,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,1,dps,sin,2016,June
KLM Royal Dutch Airlines,10.0,Boeing 777,Business,Business Class,5.0,5.0,5.0,2.0,4.0,4.0,1,ams,dxb,2016,June
KLM Royal Dutch Airlines,7.0,Boeing 777,Couple Leisure,Economy Class,2.0,4.0,4.0,3.0,4.0,3.0,1,jnb,ams,2016,June
KLM Royal Dutch Airlines,10.0,Boeing 777-206ER,Solo Leisure,Economy Class,5.0,5.0,5.0,4.0,5.0,5.0,1,sin,dps,2016,June
KLM Royal Dutch Airlines,10.0,A330-300 / Boeing 777-200,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,1,yvr,bcn ,00:00:00,2016-05-01
KLM Royal Dutch Airlines,10.0,Boeing 787-9,Solo Leisure,Business Class,5.0,5.0,5.0,4.0,5.0,5.0,1,ams,xmn,00:00:00,2016-05-01
KLM Royal Dutch Airlines,9.0,Boeing 747-400,Business,Business Class,4.0,5.0,4.0,2.0,5.0,4.0,1,cur,ams,00:00:00,2016-05-01
KLM Royal Dutch Airlines,3.0,Boeing 747-400,Family Leisure,Business Class,4.0,4.0,1.0,4.0,1.0,1.0,1,cur,ams,2016,April
KLM Royal Dutch Airlines,10.0,Boeing 747-400,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,4.0,1,ams,yyz,00:00:00,2016-05-01
KLM Royal Dutch Airlines,4.0,Boeing 777,Business,Business Class,3.0,5.0,1.0,2.0,1.0,1.0,1,man,bkk ,00:00:00,2016-05-01
KLM Royal Dutch Airlines,8.0,Boeing 787-900,Couple Leisure,Economy Class,3.0,5.0,4.0,4.0,3.0,4.0,1,gig,ams,2016,April
KLM Royal Dutch Airlines,10.0,Boeing 777-306ER,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,kul,cgk,2016,March
KLM Royal Dutch Airlines,8.0,Boeing 787-900,Couple Leisure,Economy Class,3.0,5.0,4.0,4.0,4.0,5.0,1,ams,gig,2016,April
KLM Royal Dutch Airlines,7.0,Boeing 747-400,Business,Business Class,3.0,4.0,4.0,4.0,4.0,4.0,1,ams,yyz,2016,April
KLM Royal Dutch Airlines,5.0,Boeing 777-200 / 737-800,Solo Leisure,Business Class,3.0,1.0,1.0,2.0,3.0,2.0,1,gru,man ,2016,April
KLM Royal Dutch Airlines,7.0,Boeing 737-800 / 777-300,Solo Leisure,Business Class,1.0,5.0,4.0,3.0,4.0,3.0,1,man,lim ,2016,April
KLM Royal Dutch Airlines,8.0,Boeing 777-200,Solo Leisure,Business Class,4.0,4.0,4.0,4.0,3.0,4.0,1,sin,dps,2016,April
KLM Royal Dutch Airlines,9.0,Boeing 777-300ER,Solo Leisure,Business Class,5.0,5.0,5.0,4.0,3.0,5.0,1,dps,sin,2016,April
KLM Royal Dutch Airlines,8.0,Boeing 777,Couple Leisure,Economy Class,4.0,4.0,4.0,5.0,5.0,5.0,1,lba,kul ,2016,March
KLM Royal Dutch Airlines,7.0,Boeing 777-300,Business,Business Class,3.0,5.0,4.0,4.0,4.0,5.0,1,bkk,gva ,2016,April
KLM Royal Dutch Airlines,2.0,Boeing 747 combi,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,-1,iad,ams,2016,April
KLM Royal Dutch Airlines,10.0,A330,Couple Leisure,Business Class,4.0,5.0,5.0,4.0,4.0,5.0,1,ams,sfo,2016,March
KLM Royal Dutch Airlines,2.0,Boeing 777,Business,Business Class,2.0,3.0,1.0,1.0,1.0,1.0,-1,lhr,acc ,2016,March
KLM Royal Dutch Airlines,6.0,Boeing 747,Business,Premium Economy,2.0,5.0,5.0,4.0,4.0,3.0,1,brs,nbo ,2016,January
KLM Royal Dutch Airlines,5.0,Boeing 777-300,Family Leisure,Economy Class,3.0,4.0,4.0,1.0,4.0,5.0,1,kul,cgk,2016,January
KLM Royal Dutch Airlines,10.0,Boeing 777-200,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,4.0,5.0,1,nrt,ams,2015,December
KLM Royal Dutch Airlines,9.0,Boeing 777-200,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,1,ams,jfk,2015,October
KLM Royal Dutch Airlines,4.0,Boeing 777-200 / 737-800,Solo Leisure,Economy Class,3.0,4.0,2.0,3.0,2.0,3.0,1,atl,arn ,2015,December
KLM Royal Dutch Airlines,8.0,Boeing 747-400,Family Leisure,Economy Class,3.0,5.0,4.0,4.0,5.0,4.0,1,mex,ams,2016,January
KLM Royal Dutch Airlines,9.0,Boeing 777-300 ER / 737-300,Solo Leisure,Premium Economy,4.0,4.0,4.0,3.0,4.0,4.0,1,sin,osl ,2015,December
KLM Royal Dutch Airlines,7.0,A330-200,Couple Leisure,Economy Class,2.0,4.0,2.0,2.0,3.0,4.0,1,ams,yvr,2016,January
KLM Royal Dutch Airlines,7.0,Boeing 777-200 / E90,Business,Economy Class,1.0,5.0,4.0,5.0,4.0,4.0,1,cpt,txl ,2015,December
KLM Royal Dutch Airlines,8.0,Boeing 777-200,Family Leisure,Economy Class,3.0,5.0,5.0,3.0,4.0,4.0,1,cgk,man ,2015,December
KLM Royal Dutch Airlines,8.0,Boeing 777 / A330-200,Solo Leisure,Business Class,4.0,5.0,3.0,4.0,4.0,4.0,1,atl,acc ,2015,December
KLM Royal Dutch Airlines,10.0,Boeing 777-300,Couple Leisure,Economy Class,4.0,4.0,5.0,5.0,5.0,5.0,1,ams,bkk,2015,November
KLM Royal Dutch Airlines,9.0,Boeing 777,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,3.0,5.0,1,clo,ams,2015,November
KLM Royal Dutch Airlines,2.0,Boeing 777-300,Solo Leisure,Economy Class,2.0,4.0,3.0,2.0,1.0,2.0,-1,bkk,bcn ,2015,December
KLM Royal Dutch Airlines,7.0,Boeing 737-800,Solo Leisure,Economy Class,4.0,5.0,1.0,3.0,4.0,5.0,1,athens,amsterdam,2015,December
KLM Royal Dutch Airlines,6.0,Boeing 747-400,Couple Leisure,Economy Class,1.0,5.0,4.0,3.0,3.0,4.0,1,man,hkg ,2015,December
KLM Royal Dutch Airlines,8.0,B777/B747-400,Family Leisure,Business Class,4.0,4.0,5.0,2.0,5.0,5.0,1,dxb,lax ,2015,December
KLM Royal Dutch Airlines,2.0,Boeing 747-400,Couple Leisure,Economy Class,2.0,2.0,1.0,1.0,5.0,2.0,-1,seoul,amsterdam,2015,December
KLM Royal Dutch Airlines,6.0,Boeing 747,Couple Leisure,Economy Class,3.0,5.0,5.0,3.0,3.0,4.0,-1,lhr,mnl ,2015,November
KLM Royal Dutch Airlines,10.0,Boeing 777-200,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,4.0,5.0,1,ams,cpt,2015,November
KLM Royal Dutch Airlines,3.0,AERO85/B747COMBI,Solo Leisure,Economy Class,3.0,4.0,3.0,3.0,2.0,3.0,-1,lcy,pek ,2015,November
KLM Royal Dutch Airlines,2.0,Boing 747-400,Solo Leisure,Economy Class,1.0,3.0,1.0,3.0,3.0,2.0,-1,ams,bjs,2015,November
KLM Royal Dutch Airlines,5.0,Boeing 737-800,Business,Economy Class,1.0,4.0,1.0,1.0,3.0,2.0,1,amsterdam,helsinki,2015,November
KLM Royal Dutch Airlines,10.0,A330-300,Solo Leisure,Economy Class,5.0,5.0,5.0,4.0,5.0,5.0,1,atl,ams,2015,November
KLM Royal Dutch Airlines,6.0,Boeing 777-200,Couple Leisure,Economy Class,2.0,4.0,4.0,3.0,1.0,2.0,1,ams,fuk,2015,October
KLM Royal Dutch Airlines,10.0,Boeing 737-800,Family Leisure,Economy Class,4.0,5.0,4.0,2.0,4.0,5.0,1,kbp,bcn ,2015,October
KLM Royal Dutch Airlines,8.0,A330-200,Business,Economy Class,3.0,5.0,4.0,2.0,3.0,3.0,1,ba,ams ,2015,October
KLM Royal Dutch Airlines,2.0,Boeing 737-800,Business,Business Class,1.0,3.0,3.0,1.0,1.0,1.0,1,svo,ams,2015,October
KLM Royal Dutch Airlines,8.0,Boeing 777-200,Business,Economy Class,3.0,4.0,2.0,4.0,4.0,4.0,1,kul,ams,2015,October
KLM Royal Dutch Airlines,10.0,Boeing 777,Business,Business Class,5.0,5.0,5.0,4.0,5.0,5.0,1,bcn,gig ,2015,September
KLM Royal Dutch Airlines,10.0,Boeing 747-400,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,amsterdam,calgary,2015,October
KLM Royal Dutch Airlines,3.0,Boeing 777,Couple Leisure,Business Class,1.0,1.0,1.0,3.0,3.0,2.0,-1,hangzhou,amsterdam,2015,September
KLM Royal Dutch Airlines,8.0,Boeing 777-200,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,5.0,4.0,1,new york,amsterdam,2015,September
KLM Royal Dutch Airlines,2.0,Boeing 777-300,Couple Leisure,Economy Class,2.0,1.0,4.0,1.0,3.0,3.0,1,london,bangkok ,2015,September
KLM Royal Dutch Airlines,3.0,Boeing 777,Couple Leisure,Business Class,1.0,4.0,2.0,1.0,4.0,2.0,-1,sã£o paulo,amsterdam,2015,September
KLM Royal Dutch Airlines,7.0,Boeing747-400 / 737-900,Family Leisure,Economy Class,5.0,5.0,4.0,2.0,4.0,5.0,1,tokyo,tel aviv ,2015,September
KLM Royal Dutch Airlines,8.0,Boeing 747-400 / Embraer190,Solo Leisure,Economy Class,2.0,5.0,3.0,5.0,2.0,3.0,1,toronto,bilbao ,2015,September
KLM Royal Dutch Airlines,6.0,Boeing 777,Business,Business Class,1.0,5.0,4.0,3.0,4.0,3.0,-1,ams,panama city,2015,September
KLM Royal Dutch Airlines,8.0,Boeing 747-400,Family Leisure,Economy Class,5.0,5.0,5.0,4.0,5.0,4.0,1,amsterdam,new york,2015,April
KLM Royal Dutch Airlines,9.0,Boeing 777-200,Family Leisure,Business Class,5.0,5.0,4.0,4.0,4.0,5.0,1,amsterdam,dubai,2015,September
KLM Royal Dutch Airlines,10.0,Boeing 777-300ER,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,singapore,denpasar,2015,June
KLM Royal Dutch Airlines,7.0,Boeing 777,Solo Leisure,Economy Class,4.0,4.0,4.0,1.0,5.0,4.0,-1,amsterdam,manila ,2015,September
KLM Royal Dutch Airlines,9.0,Boeing 777-200,Solo Leisure,Economy Class,5.0,5.0,5.0,4.0,1.0,3.0,1,cape town,amsterdam,2015,August
KLM Royal Dutch Airlines,10.0,Boeing 777-200,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,1,amsterdam,calgary,2015,September
KLM Royal Dutch Airlines,10.0,B747-400 Combi Rio De Janeiro,Solo Leisure,Premium Economy,5.0,5.0,5.0,4.0,4.0,4.0,1,manchester,beijing ,2015,August
KLM Royal Dutch Airlines,10.0,Boeing 777-300ER,Solo Leisure,Economy Class,5.0,5.0,5.0,4.0,5.0,5.0,1,bangkok,amsterdam,2015,August
KLM Royal Dutch Airlines,9.0,Boeing 777-300ER,Solo Leisure,Economy Class,4.0,5.0,4.0,3.0,4.0,5.0,1,jfk,ams,2015,August
KLM Royal Dutch Airlines,8.0,Boeing 777,Solo Leisure,Economy Class,5.0,5.0,5.0,3.0,5.0,4.0,1,manila,bremen ,2015,August
KLM Royal Dutch Airlines,9.0,Boeing 777-200 and Boeing 737-800,Couple Leisure,Economy Class,4.0,5.0,5.0,4.0,5.0,5.0,1,jfk,cph ,2015,August
KLM Royal Dutch Airlines,10.0,Boeing 747-400C,Business,Business Class,5.0,5.0,4.0,3.0,5.0,5.0,1,lax,cdg ,2015,July
KLM Royal Dutch Airlines,9.0,Boeing 777-300,Couple Leisure,Business Class,5.0,5.0,4.0,4.0,4.0,5.0,1,ams,gru,2015,July
KLM Royal Dutch Airlines,5.0,Boeing 747,Business,Business Class,3.0,3.0,4.0,2.0,4.0,2.0,-1,zrh,mex ,2015,August
KLM Royal Dutch Airlines,9.0,Boeing 747,Solo Leisure,Premium Economy,4.0,5.0,4.0,4.0,3.0,4.0,1,amsterdam,nairobi,2015,July
KLM Royal Dutch Airlines,7.0,Boeing 777-200ER,Family Leisure,Business Class,3.0,4.0,3.0,4.0,4.0,5.0,1,bog,txl ,2015,July
KLM Royal Dutch Airlines,9.0,Boeing 747-400,Family Leisure,Business Class,5.0,4.0,5.0,5.0,4.0,5.0,1,bristol,curacao ,2015,August
KLM Royal Dutch Airlines,9.0,Boeing 747-400 (PH-BFG),Family Leisure,Economy Class,3.0,5.0,5.0,4.0,4.0,4.0,1,ams,cur,2015,July
KLM Royal Dutch Airlines,10.0,Airbus 333,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,3.0,1,yvr,budapest ,2015,June
KLM Royal Dutch Airlines,10.0,Boeing 777,Family Leisure,Economy Class,3.0,5.0,5.0,5.0,3.0,4.0,1,ams,sao paulo,2015,July
KLM Royal Dutch Airlines,5.0,A330,Business,Economy Class,3.0,2.0,2.0,1.0,2.0,3.0,-1,berlin,dar es salaam ,2015,July
KLM Royal Dutch Airlines,2.0,A330,Business,Premium Economy,2.0,1.0,1.0,1.0,1.0,2.0,1,dar es salaam,berlin ,2015,July
KLM Royal Dutch Airlines,10.0,Boeing 737 and Boeing 847,Business,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,edinburgh,dammam ,2015,July
KLM Royal Dutch Airlines,6.0,Boeing 777-200,Solo Leisure,Economy Class,3.0,3.0,4.0,3.0,3.0,3.0,1,ams,atl,2015,July
KLM Royal Dutch Airlines,8.0,A330-200,Couple Leisure,Business Class,3.0,5.0,5.0,5.0,5.0,4.0,1,bcn,dfw ,2015,July
KLM Royal Dutch Airlines,9.0,A330,Business,Economy Class,5.0,4.0,4.0,5.0,4.0,5.0,1,yyz,waw ,2015,July
KLM Royal Dutch Airlines,8.0,A330,Business,Business Class,2.0,4.0,3.0,2.0,4.0,4.0,1,aberdeen,abu dhabi ,2015,June
KLM Royal Dutch Airlines,1.0,Boeing 737,Business,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,-1,toulouse,athens ,2015,July
KLM Royal Dutch Airlines,9.0,Boeing 777-300ER,Solo Leisure,Economy Class,3.0,5.0,4.0,4.0,4.0,4.0,1,amsterdam,kuala lumpur,2015,July
KLM Royal Dutch Airlines,10.0,Boeing 747-400 Combi,Business,Business Class,5.0,5.0,5.0,3.0,5.0,4.0,1,nrt,ams,2015,July
KLM Royal Dutch Airlines,7.0,Boeing 737-800 / 747-400,Solo Leisure,Economy Class,3.0,5.0,4.0,3.0,1.0,4.0,1,london heathrow,tokyo narita,2015,July
KLM Royal Dutch Airlines,9.0,Airbus A330-200 / Boeing 747-400,Family Leisure,Business Class,3.0,5.0,4.0,3.0,3.0,5.0,1,dubai,los angeles ,2015,July
KLM Royal Dutch Airlines,9.0,Boeing 777,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,amsterdam,calgary,2015,July
KLM Royal Dutch Airlines,8.0,Boeing 777-200,Couple Leisure,Business Class,4.0,5.0,5.0,5.0,5.0,4.0,1,amsterdam,calgary,2015,June
KLM Royal Dutch Airlines,9.0,Boeing 747-400 / Boeing 777,Family Leisure,Economy Class,3.0,5.0,5.0,5.0,5.0,5.0,1,lax,copenhagen ,2015,June
KLM Royal Dutch Airlines,5.0,Boeing 747-400,Business,Business Class,5.0,2.0,3.0,4.0,4.0,2.0,1,nairobi,amsterdam,2015,June
KLM Royal Dutch Airlines,7.0,B747-400,Family Leisure,Economy Class,3.0,5.0,5.0,3.0,4.0,4.0,1,ams,lax,2015,June
Virgin America,7.0,A320-200,Family Leisure,First Class,5.0,5.0,5.0,3.0,5.0,4.0,1,san francisco,seattle,2017,December
Virgin America,4.0,A320-200,Family Leisure,First Class,5.0,3.0,3.0,3.0,4.0,3.0,1,los angeles,san francisco,2017,December
Virgin America,9.0,A320-200,Solo Leisure,Economy Class,3.0,5.0,4.0,5.0,3.0,5.0,1,san diego,san francisco,2017,December
Virgin America,9.0,A320,Business,Premium Economy,4.0,4.0,5.0,5.0,5.0,5.0,1,las vegas,austin ,2017,October
Virgin America,10.0,A320,Family Leisure,Economy Class,5.0,5.0,5.0,4.0,5.0,5.0,1,kahului,newark ,2017,January
Virgin America,1.0,A320,Couple Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,2.0,-1,sfo,bos,2017,January
Virgin America,3.0,A320,Couple Leisure,Economy Class,1.0,2.0,1.0,1.0,3.0,1.0,-1,jfk,sfo,2016,December
Virgin America,9.0,A320,Solo Leisure,First Class,5.0,5.0,4.0,5.0,5.0,4.0,1,jfk,las,2016,March
Virgin America,10.0,A319,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,lga,dal,2016,March
Virgin America,8.0,A320,Couple Leisure,Economy Class,4.0,5.0,3.0,2.0,5.0,4.0,1,lax,mco,2015,July
Virgin America,8.0,A320-200,Business,Economy Class,4.0,4.0,4.0,5.0,4.0,3.0,1,lga,dal,2015,October
