airline,overall,aircraft,traveller_type,cabin,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,sentiment,Departure,Arrival,year_flown,month_flown
Turkish Airlines,4.0,A330,Solo Leisure,Economy Class,3.0,3.0,4.0,3.0,3.0,3.0,1,istanbul,bangkok,2018,November
Turkish Airlines,3.0,Boeing 737,Solo Leisure,Economy Class,3.0,2.0,2.0,3.0,2.0,3.0,0,ankara,frankfurt,2018,December
Turkish Airlines,3.0,Boeing 737,Business,Economy Class,3.0,4.0,3.0,1.0,3.0,4.0,1,fra,esb,2018,November
Turkish Airlines,3.0,A319-200 / A330-300,Couple Leisure,Economy Class,2.0,3.0,3.0,5.0,1.0,2.0,1,ankara,amsterdam ,2018,November
Turkish Airlines,8.0,A330-200/300,Couple Leisure,Economy Class,4.0,3.0,5.0,5.0,3.0,5.0,1,amsterdam,havana ,2018,November
Turkish Airlines,1.0,Boeing 737 / A330,Family Leisure,Economy Class,2.0,1.0,1.0,2.0,1.0,1.0,-1,dublin,phuket ,2018,September
Turkish Airlines,6.0,A330-200,Couple Leisure,Business Class,5.0,4.0,5.0,3.0,1.0,2.0,-1,amsterdam,ankara ,2018,November
Turkish Airlines,1.0,A330,Family Leisure,Economy Class,2.0,2.0,2.0,1.0,1.0,1.0,-1,istanbul,beirut,2018,November
Turkish Airlines,8.0,Boeing 777 / A330,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,1,izmir,montreal ,2018,November
Turkish Airlines,2.0,A320,Business,Economy Class,1.0,4.0,1.0,3.0,3.0,1.0,-1,tel aviv,brussels ,2018,October
Turkish Airlines,10.0,Boeing 737-800,Solo Leisure,Economy Class,5.0,5.0,5.0,4.0,5.0,5.0,1,izmir,istanbul,2018,August
Turkish Airlines,8.0,A330-300,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,3.0,5.0,1,istanbul,montreal,2018,October
Turkish Airlines,1.0,Boeing 777-300,Solo Leisure,Economy Class,1.0,2.0,3.0,3.0,1.0,1.0,-1,boston,rome ,2018,October
Turkish Airlines,7.0,Boeing 737-800,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,2.0,5.0,1,istanbul,baku,2018,November
Turkish Airlines,9.0,Boeing 737-800,Solo Leisure,Business Class,5.0,5.0,4.0,3.0,5.0,5.0,1,istanbul,antalya,2018,November
Turkish Airlines,9.0,A321 / A330,Business,Business Class,4.0,4.0,5.0,4.0,3.0,4.0,1,cape town,gatwick ,2018,October
Turkish Airlines,9.0,A321 / A333,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,5.0,4.0,1,lvov,johannesburg ,2018,September
Turkish Airlines,1.0,A330,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1,istanbul,london,2018,October
Turkish Airlines,9.0,A321 / Boeing 737-800,Couple Leisure,Economy Class,3.0,5.0,5.0,5.0,4.0,4.0,1,lisbon,sharm el-sheikh ,2018,September
Turkish Airlines,1.0,Boeing 737-800,Couple Leisure,Economy Class,2.0,3.0,3.0,1.0,1.0,1.0,1,istanbul,neveshir,2018,September
Turkish Airlines,9.0,A321,Couple Leisure,Economy Class,5.0,5.0,4.0,5.0,4.0,5.0,1,zagreb,kayseri ,2018,September
Turkish Airlines,9.0,A330 /A321,Couple Leisure,Business Class,4.0,4.0,4.0,4.0,3.0,5.0,1,manchester,ercan ,2018,September
Turkish Airlines,1.0,Boeing 777-300ER,Couple Leisure,Economy Class,2.0,4.0,4.0,4.0,1.0,1.0,-1,kiev,chicago ,2018,September
Turkish Airlines,1.0,TK84,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,-1,gothenburg,manila ,2018,September
Turkish Airlines,9.0,Boeing 737-800,Family Leisure,Economy Class,4.0,3.0,3.0,3.0,4.0,4.0,1,istanbul,dalaman,2018,September
Turkish Airlines,1.0,Boeing 777-300,Couple Leisure,Economy Class,4.0,4.0,4.0,4.0,1.0,3.0,-1,antalya,sydney ,2018,September
Turkish Airlines,10.0,A330,Family Leisure,Economy Class,4.0,5.0,3.0,5.0,4.0,5.0,1,washington,istanbul,2018,September
Turkish Airlines,7.0,Boeing 777-300ER,Solo Leisure,Business Class,3.0,4.0,4.0,4.0,3.0,4.0,1,istanbul,new york jfk,2018,July
Turkish Airlines,3.0,A330-300 / A321-200,Family Leisure,Economy Class,4.0,1.0,3.0,5.0,1.0,3.0,-1,dhaka,london ,2018,September
Turkish Airlines,7.0,A330-300 / Boeing 777-300ER,Solo Leisure,Business Class,3.0,5.0,2.0,4.0,1.0,4.0,1,bangkok,london ,2018,September
Turkish Airlines,5.0,Boeing 737,Couple Leisure,Business Class,4.0,3.0,4.0,3.0,1.0,3.0,-1,istanbul,prague,2018,August
Turkish Airlines,10.0,A321-232,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,zã¼rich,denizli ,2018,August
Turkish Airlines,6.0,A330-300,Couple Leisure,Business Class,4.0,4.0,4.0,4.0,2.0,4.0,-1,bangkok,amsterdam ,2018,August
Turkish Airlines,7.0,B738 / B777,Couple Leisure,Economy Class,4.0,3.0,4.0,3.0,3.0,5.0,1,billund,bangkok ,2018,August
Turkish Airlines,1.0,Boeing 777,Solo Leisure,Economy Class,2.0,1.0,4.0,4.0,1.0,1.0,-1,new york,istanbul,2018,August
Turkish Airlines,9.0,A330-300,Business,Economy Class,4.0,5.0,4.0,5.0,5.0,5.0,1,montreal,istanbul,2018,August
Turkish Airlines,9.0,A330,Solo Leisure,Economy Class,4.0,4.0,4.0,4.0,4.0,4.0,1,tehran,istanbul ,2018,August
Turkish Airlines,3.0,Boeing 777,Family Leisure,Economy Class,2.0,1.0,1.0,2.0,1.0,1.0,-1,london,istanbul,2018,August
Turkish Airlines,8.0,Boeing 777-300er / A330-300,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,2.0,5.0,1,bucharest,dubai ,2018,August
Turkish Airlines,7.0,A330,Family Leisure,Economy Class,5.0,4.0,1.0,5.0,5.0,3.0,1,moscow,antalya,2018,June
Turkish Airlines,10.0,A330-300,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,bangkok,istanbul,2018,January
Turkish Airlines,9.0,A330-200 / A321-200,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,caracas,munich ,2018,July
Turkish Airlines,3.0,Boeing 777,Solo Leisure,Business Class,3.0,1.0,1.0,2.0,2.0,1.0,1,manila,istanbul,2018,July
Turkish Airlines,9.0,Boeing 777-300ER & A321,Business,Business Class,4.0,5.0,5.0,5.0,3.0,5.0,1,singapore,venice ,2018,July
Turkish Airlines,2.0,Boeing 777-300ER,Business,Economy Class,4.0,1.0,2.0,5.0,3.0,2.0,1,manila,tel aviv ,00:00:00,2018-05-01
Turkish Airlines,10.0,A321/A330,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,1,ljubljana,bangkok ,2018,June
Turkish Airlines,10.0,Boeing 777-300ER,Solo Leisure,Economy Class,3.0,5.0,5.0,5.0,5.0,5.0,1,istanbul,singapore,2018,April
Turkish Airlines,1.0,Boeing 777,Solo Leisure,Business Class,2.0,1.0,1.0,1.0,1.0,1.0,1,istanbul,manila,00:00:00,2018-05-01
Turkish Airlines,1.0,Boeing 777-300ER,Couple Leisure,Economy Class,2.0,2.0,2.0,2.0,1.0,1.0,1,zurich,delhi ,2018,June
Turkish Airlines,4.0,A321-200,Business,Business Class,1.0,1.0,2.0,1.0,1.0,2.0,-1,istanbul,duesseldorf,2018,June
Turkish Airlines,3.0,Boeing 777,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,-1,new york,istanbul,2018,June
Turkish Airlines,3.0,A321,Solo Leisure,Economy Class,1.0,3.0,3.0,1.0,2.0,2.0,1,nav,ist,2018,June
Turkish Airlines,9.0,Boeing 777-300ER,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,1,miami,bucharest,2018,June
Turkish Airlines,9.0,Boeing 777-300ER,Couple Leisure,Economy Class,5.0,5.0,5.0,4.0,2.0,5.0,1,istanbul,bangkok,2017,December
Turkish Airlines,3.0,A321-200,Solo Leisure,Economy Class,1.0,1.0,2.0,2.0,1.0,1.0,-1,istanbul,geneva,2018,June
Turkish Airlines,10.0,A320,Business,Economy Class,5.0,5.0,5.0,3.0,4.0,5.0,1,prague,tbilisi ,00:00:00,2018-05-01
Turkish Airlines,10.0,A321-200,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,hamburg,istanbul,2017,December
Turkish Airlines,9.0,A330-200,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,5.0,5.0,1,chicago,cape town ,2018,March
Turkish Airlines,9.0,Boeing 777-300ER,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,5.0,5.0,1,chicago,zagreb ,00:00:00,2018-05-01
Turkish Airlines,9.0,Boeing 737,Couple Leisure,Economy Class,4.0,4.0,4.0,4.0,4.0,5.0,-1,muscat,brussels ,2018,March
Turkish Airlines,5.0,Boeing 777-300ER,Business,Business Class,3.0,5.0,2.0,4.0,3.0,2.0,1,amsterdam,seoul ,00:00:00,2018-05-01
Turkish Airlines,8.0,Boeing 777-300ER,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,3.0,4.0,1,toronto,mumbai ,00:00:00,2018-05-01
Turkish Airlines,10.0,A321,Couple Leisure,Economy Class,4.0,4.0,5.0,4.0,4.0,5.0,1,london heathrow,istanbul,2018,April
Turkish Airlines,7.0,A330 / A321,Business,Business Class,3.0,4.0,4.0,4.0,4.0,4.0,-1,washington,vienna ,2018,April
Turkish Airlines,1.0,Boeing 777-300,Solo Leisure,Economy Class,2.0,2.0,4.0,2.0,1.0,1.0,-1,taipei,bremen ,2018,April
Turkish Airlines,6.0,Boeing 777,Business,Business Class,3.0,4.0,3.0,5.0,1.0,4.0,-1,beijing,istanbul,2018,April
Turkish Airlines,2.0,A330,Family Leisure,Economy Class,2.0,2.0,3.0,3.0,1.0,3.0,-1,madrid,alexandria ,2018,March
Turkish Airlines,3.0,Boeing 777,Business,Business Class,4.0,5.0,3.0,4.0,1.0,2.0,1,bangkok,houston ,2018,March
Turkish Airlines,9.0,Boeing 777 / A320,Family Leisure,Business Class,4.0,5.0,4.0,4.0,4.0,5.0,1,new york,tel aviv ,2018,March
Turkish Airlines,2.0,Boeing 777,Solo Leisure,Business Class,2.0,4.0,2.0,4.0,1.0,2.0,-1,mauritius,dublin ,2018,January
Turkish Airlines,9.0,Boeing 777/300,Business,Business Class,5.0,4.0,5.0,5.0,4.0,5.0,1,izmir,bangkok ,2018,March
Turkish Airlines,8.0,A330 / Boeing 777,Couple Leisure,Economy Class,3.0,3.0,5.0,5.0,5.0,3.0,1,berlin,kuala lumpur ,2018,February
Turkish Airlines,1.0,Boeing 777-300,Business,Business Class,2.0,3.0,4.0,3.0,1.0,1.0,-1,bucharest,houston ,2018,March
Turkish Airlines,9.0,A330-300,Solo Leisure,Business Class,4.0,4.0,4.0,4.0,3.0,3.0,1,istanbul,london,2018,February
Turkish Airlines,8.0,A330-200,Solo Leisure,Economy Class,4.0,4.0,4.0,4.0,4.0,4.0,1,london heathrow,istanbul,2018,February
Turkish Airlines,3.0,A330 - B777,Family Leisure,Business Class,5.0,4.0,5.0,5.0,1.0,3.0,-1,tel aviv,new york ,2018,February
Turkish Airlines,9.0,A321 / Boeing 737-800,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,3.0,5.0,1,gothenburg,malta ,2018,February
Turkish Airlines,10.0,A320,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,1,belgrade,munich ,2018,January
Turkish Airlines,8.0,A321,Solo Leisure,Economy Class,3.0,4.0,4.0,3.0,4.0,5.0,1,stockholm,istanbul,2018,February
Turkish Airlines,10.0,A330,Business,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,1,istanbul,berlin,2018,February
Turkish Airlines,9.0,A330-300,Couple Leisure,Business Class,5.0,5.0,5.0,4.0,3.0,5.0,1,london,cape town ,2018,January
Turkish Airlines,8.0,A330,Solo Leisure,Economy Class,3.0,4.0,5.0,5.0,5.0,4.0,1,amsterdam,new york ,2018,January
Turkish Airlines,4.0,"A321, Boeing 737 -900",Couple Leisure,Economy Class,2.0,2.0,3.0,3.0,3.0,3.0,-1,brussels,dar es salaam ,2018,January
Turkish Airlines,2.0,Boeing 777-300E,Solo Leisure,Business Class,2.0,3.0,3.0,3.0,1.0,3.0,-1,kosice,singapore ,2018,January
Turkish Airlines,10.0,Boeing 777-300ER,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,5.0,5.0,1,chicago,istanbul,2017,November
Turkish Airlines,9.0,A330,Business,Economy Class,4.0,5.0,5.0,4.0,3.0,5.0,1,istanbul,montreal,2018,January
Turkish Airlines,1.0,A321 / Boeing 737-800,Business,Business Class,4.0,4.0,2.0,3.0,1.0,1.0,-1,london,thessaloniki ,2018,January
Turkish Airlines,10.0,A320 / A330,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,1,ljubljana,ho chi minh city ,2018,January
Turkish Airlines,10.0,Boeing777,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,istanbul,new york city,2018,January
Turkish Airlines,7.0,Boeing 777-300 / A321,Family Leisure,Business Class,4.0,3.0,3.0,1.0,4.0,5.0,1,miami,munich ,2017,December
Turkish Airlines,10.0,A330,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,1,washington,islamabad ,2017,December
Turkish Airlines,6.0,A330 + Boeing 777,Business,Business Class,4.0,3.0,3.0,4.0,2.0,3.0,1,geneva,jakarta ,2017,December
Turkish Airlines,3.0,A321,Family Leisure,Business Class,2.0,3.0,2.0,1.0,1.0,2.0,-1,kuwait,dusseldorf ,2017,December
Turkish Airlines,2.0,A320 / A 330,Couple Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,2.0,-1,medina,lahore ,2017,December
Turkish Airlines,2.0,A340,Business,Economy Class,4.0,2.0,4.0,4.0,1.0,2.0,-1,accra,bucharest ,2017,December
Turkish Airlines,9.0,A330 and Boeing 777,Business,Business Class,4.0,5.0,5.0,3.0,4.0,5.0,1,istanbul,hanoi,2017,November
Turkish Airlines,9.0,A321,Business,Business Class,5.0,5.0,5.0,4.0,4.0,4.0,1,london,istanbul,2017,November
Turkish Airlines,9.0,Boeing 737 and A321,Couple Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,1,helsinki,istanbul,2017,December
Turkish Airlines,3.0,A320,Business,Economy Class,1.0,1.0,2.0,1.0,1.0,1.0,-1,frankfurt,elazig ,2017,December
Turkish Airlines,8.0,A330,Couple Leisure,Business Class,4.0,4.0,2.0,4.0,4.0,4.0,1,istanbul,montreal,2017,December
Turkish Airlines,1.0,Boeing 777,Business,Business Class,2.0,1.0,2.0,2.0,1.0,2.0,-1,dubai,toronto ,2017,December
Turkish Airlines,3.0,A330,Solo Leisure,Economy Class,2.0,4.0,2.0,2.0,1.0,3.0,1,budapest,atlanta ,2017,August
Turkish Airlines,7.0,Boeing 777-300,Solo Leisure,Economy Class,4.0,3.0,4.0,4.0,3.0,4.0,1,toronto,mumbai ,2017,November
Turkish Airlines,1.0,A330,Family Leisure,Business Class,4.0,4.0,3.0,5.0,1.0,1.0,-1,barcelona,moscow,2017,August
Turkish Airlines,6.0,A321,Business,Economy Class,4.0,5.0,4.0,5.0,1.0,3.0,-1,istanbul,paris,2017,November
Turkish Airlines,8.0,A330-300,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,atlanta,istanbul,2017,November
Turkish Airlines,9.0,A330-300,Solo Leisure,Business Class,4.0,5.0,5.0,4.0,3.0,5.0,1,istanbul,ho chi minh city,2017,November
Turkish Airlines,8.0,Boeing 777-300ER,Family Leisure,Economy Class,4.0,4.0,4.0,3.0,4.0,4.0,1,jakarta,istanbul,2017,October
Turkish Airlines,7.0,A330,Business,Business Class,4.0,5.0,3.0,3.0,2.0,3.0,1,istanbul,new york jfk,2017,October
Turkish Airlines,8.0,A330,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,2.0,5.0,1,copenhagen,antananarivo ,2017,October
Turkish Airlines,10.0,A321 (Sharklets),Family Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,5.0,1,munich,izmir,2017,July
Turkish Airlines,7.0,A321 / A330,Solo Leisure,Economy Class,3.0,1.0,4.0,4.0,4.0,4.0,-1,tel aviv,bangkok ,2017,October
Turkish Airlines,8.0,A330,Couple Leisure,Business Class,5.0,5.0,3.0,4.0,4.0,4.0,1,istanbul,washington,2017,October
Turkish Airlines,9.0,A321 / Boeing 777-300ER,Couple Leisure,Business Class,5.0,5.0,5.0,3.0,4.0,5.0,1,london,manila ,2017,October
Turkish Airlines,7.0,A330,Business,Business Class,4.0,5.0,3.0,2.0,4.0,3.0,1,montreal,istanbul,2017,October
Turkish Airlines,8.0,Boeing 777-300ER / A330,Solo Leisure,Business Class,4.0,5.0,4.0,5.0,4.0,4.0,1,new york jfk,bangkok ,2017,October
Turkish Airlines,8.0,A321,Business,Economy Class,4.0,4.0,4.0,3.0,4.0,3.0,1,athens,istanbul,2016,November
Turkish Airlines,9.0,A330,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,3.0,4.0,1,bangkok,istanbul,2017,August
Turkish Airlines,10.0,Boeing 777,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,3.0,4.0,1,istanbul,san francisco,2017,August
Turkish Airlines,7.0,A330,Business,Business Class,4.0,4.0,3.0,3.0,4.0,3.0,1,istanbul,montreal,2017,September
Turkish Airlines,1.0,A330-300,Couple Leisure,Economy Class,3.0,3.0,3.0,4.0,1.0,1.0,-1,mauritius,amsterdam ,2017,October
Turkish Airlines,10.0,Boeing 777,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,3.0,4.0,1,clj,sin ,2017,September
Turkish Airlines,6.0,Boeing 777,Business,Business Class,4.0,3.0,2.0,2.0,4.0,2.0,1,toronto,istanbul,2017,September
Turkish Airlines,1.0,A321,Business,Economy Class,1.0,1.0,1.0,1.0,2.0,1.0,-1,istanbul,prague,2017,August
Turkish Airlines,6.0,A330 / Boeing 777,Solo Leisure,Economy Class,2.0,3.0,4.0,5.0,3.0,3.0,1,london,kuala lumpur ,2017,September
Turkish Airlines,8.0,Boeing 777-300ER + A321,Business,Business Class,5.0,4.0,4.0,4.0,5.0,4.0,1,hong kong,copenhagen ,2017,September
Turkish Airlines,7.0,Boeing 777-300,Couple Leisure,Business Class,4.0,2.0,3.0,4.0,3.0,4.0,1,buenos aires,barcelona ,2017,August
Turkish Airlines,9.0,A321-200 and Boeing 737-800,Couple Leisure,Economy Class,5.0,4.0,3.0,4.0,3.0,4.0,1,prague,antalya ,2017,August
Turkish Airlines,3.0,A330-300,Family Leisure,Economy Class,3.0,4.0,4.0,5.0,1.0,3.0,1,johannesburg,brussels ,2017,August
Turkish Airlines,10.0,A330,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,1,new york jfk,paris cdg ,2017,June
Turkish Airlines,8.0,Boeing 777-300ER,Family Leisure,Business Class,4.0,4.0,4.0,4.0,3.0,4.0,1,jakarta,sao paulo ,2017,July
Turkish Airlines,2.0,Boeing 777-300ER,Solo Leisure,Economy Class,2.0,2.0,2.0,2.0,1.0,1.0,-1,los angeles,bucharest ,2017,July
Turkish Airlines,5.0,A330,Couple Leisure,Economy Class,2.0,4.0,4.0,5.0,1.0,3.0,-1,amsterdam,bangkok ,2017,July
Turkish Airlines,5.0,A330,Family Leisure,Economy Class,3.0,1.0,3.0,3.0,1.0,3.0,-1,istanbul,bangkok,2017,August
Turkish Airlines,8.0,A321,Solo Leisure,Economy Class,3.0,4.0,3.0,1.0,1.0,4.0,1,dalaman,istanbul ataturk,2017,August
Turkish Airlines,10.0,Boeing 777,Family Leisure,Business Class,5.0,5.0,5.0,5.0,2.0,5.0,1,istanbul,izmir,2017,June
Turkish Airlines,10.0,A321,Family Leisure,Business Class,3.0,5.0,5.0,5.0,3.0,5.0,1,oslo,istanbul,2017,June
Turkish Airlines,9.0,A321-200 / Boeing 777-300ER,Business,Economy Class,3.0,5.0,5.0,5.0,5.0,5.0,1,zurich,dubai ,2017,July
Turkish Airlines,8.0,A330-300 / Boeing 777,Couple Leisure,Business Class,4.0,4.0,5.0,5.0,5.0,5.0,1,bangkok,london ,2017,July
Turkish Airlines,7.0,Boeing 737-900,Solo Leisure,Economy Class,1.0,5.0,5.0,3.0,3.0,4.0,1,istanbul,abuja,2017,June
Turkish Airlines,9.0,A330 / B777,Business,Business Class,4.0,5.0,5.0,5.0,4.0,5.0,1,london,guangzhou ,2017,June
